Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-08-04 04:00:00,140.82,141.17,140.82,141.12,98.759,1754280899999,13934.80369000,65,36.43100000,5139.22994000,0
2025-08-04 04:15:00,141.12,141.12,140.66,141.0,77.116,1754281799999,10861.81954000,59,30.15300000,4246.77394000,0
2025-08-04 04:30:00,140.98,140.98,140.21,140.21,340.586,1754282699999,47822.08159000,172,79.36700000,11143.71085000,0
2025-08-04 04:45:00,140.18,140.44,140.15,140.26,183.043,1754283599999,25676.03075000,101,71.84100000,10078.76469000,0
2025-08-04 05:00:00,140.29,140.33,140.0,140.11,442.462,1754284499999,61971.94674000,156,377.83300000,52919.93297000,0
2025-08-04 05:15:00,140.04,140.3,139.89,140.02,229.725,1754285399999,32166.06837000,169,69.37200000,9716.26824000,0
2025-08-04 05:30:00,140.01,140.29,139.65,139.77,348.888,1754286299999,48831.24073000,160,137.76300000,19295.74821000,0
2025-08-04 05:45:00,139.77,140.45,139.7,140.3,294.185,1754287199999,41233.12638000,164,217.23000000,30447.74379000,0
2025-08-04 06:00:00,140.3,140.47,139.69,139.69,313.773,1754288099999,43913.25556000,151,69.40900000,9721.90281000,0
2025-08-04 06:15:00,139.64,139.86,139.33,139.78,474.421,1754288999999,66226.26946000,340,260.11300000,36320.23583000,0
2025-08-04 06:30:00,139.8,140.18,139.57,140.05,508.613,1754289899999,71078.84165000,274,265.75500000,37139.87766000,0
2025-08-04 06:45:00,139.95,140.3,139.71,140.28,330.16,1754290799999,46232.88053000,135,202.57200000,28362.01787000,0
2025-08-04 07:00:00,140.25,140.63,140.22,140.59,529.971,1754291699999,74391.01245000,255,271.50800000,38112.92114000,0
2025-08-04 07:15:00,140.59,140.63,140.34,140.6,435.539,1754292599999,61196.88289000,259,174.64600000,24535.77923000,0
2025-08-04 07:30:00,140.57,141.09,140.41,140.97,418.511,1754293499999,58925.51880000,239,334.15000000,47040.03961000,0
2025-08-04 07:45:00,140.99,141.38,140.99,141.1,352.905,1754294399999,49841.42577000,180,261.93400000,36990.40443000,0
2025-08-04 08:00:00,141.15,141.79,141.07,141.51,664.85,1754295299999,94102.32903000,297,403.35400000,57091.08543000,0
2025-08-04 08:15:00,141.57,141.81,141.1,141.17,327.434,1754296199999,46311.75895000,188,169.15100000,23933.51392000,0
2025-08-04 08:30:00,141.17,142.02,140.79,141.73,1288.364,1754297099999,182421.01178000,458,838.37600000,118758.87949000,0
2025-08-04 08:45:00,141.87,141.88,141.49,141.72,377.258,1754297999999,53455.83278000,213,139.25700000,19733.49960000,0
2025-08-04 09:00:00,141.81,142.0,141.41,141.47,752.83,1754298899999,106684.53186000,282,527.16200000,74715.61600000,0
2025-08-04 09:15:00,141.38,141.66,141.16,141.32,538.454,1754299799999,76138.25700000,216,336.49500000,47578.55884000,0
2025-08-04 09:30:00,141.4,141.52,140.94,140.97,455.292,1754300699999,64255.60287000,277,388.91900000,54889.78935000,0
2025-08-04 09:45:00,140.94,141.03,140.56,140.6,372.085,1754301599999,52357.51037000,226,92.65700000,13044.03623000,0
2025-08-04 10:00:00,140.62,140.7,140.32,140.7,503.505,1754302499999,70757.40384000,212,208.18400000,29251.49011000,0
2025-08-04 10:15:00,140.7,141.2,140.49,140.79,304.179,1754303399999,42848.39712000,201,196.93600000,27753.55975000,0
2025-08-04 10:30:00,140.81,141.02,140.47,140.53,337.517,1754304299999,47510.89134000,186,161.55600000,22747.92128000,0
2025-08-04 10:45:00,140.54,140.65,140.26,140.42,285.003,1754305199999,40026.61847000,186,136.06800000,19111.74702000,0
2025-08-04 11:00:00,140.38,140.53,140.09,140.12,257.128,1754306099999,36074.75742000,120,104.11500000,14612.87414000,0
2025-08-04 11:15:00,140.07,140.2,139.65,140.16,296.453,1754306999999,41505.37547000,192,113.27800000,15858.86139000,0
2025-08-04 11:30:00,140.13,140.35,140.0,140.26,463.152,1754307899999,64913.08637000,211,273.53900000,38332.85463000,0
2025-08-04 11:45:00,140.22,140.56,140.08,140.46,401.887,1754308799999,56368.36471000,193,341.71900000,47925.57864000,0
2025-08-04 12:00:00,140.49,140.82,140.3,140.82,405.497,1754309699999,56972.12730000,207,248.64600000,34923.05034000,0
2025-08-04 12:15:00,140.88,140.96,140.42,140.75,406.208,1754310599999,57168.03307000,210,209.27200000,29460.94408000,0
2025-08-04 12:30:00,140.74,141.11,140.66,140.95,154.853,1754311499999,21818.20331000,117,104.90800000,14777.51004000,0
2025-08-04 12:45:00,140.92,141.47,140.82,141.47,512.569,1754312399999,72303.81759000,225,190.12200000,26817.37062000,0
2025-08-04 13:00:00,141.5,141.64,141.06,141.33,304.653,1754313299999,43073.83009000,240,189.60400000,26804.75023000,0
2025-08-04 13:15:00,141.35,141.66,140.94,141.12,484.643,1754314199999,68464.47191000,261,220.97600000,31227.29653000,0
2025-08-04 13:30:00,141.12,142.66,141.08,142.62,979.221,1754315099999,139183.28764000,537,614.79100000,87361.05204000,0
2025-08-04 13:45:00,142.64,143.23,142.0,143.08,1409.205,1754315999999,200795.68820000,589,369.39200000,52723.57408000,0
2025-08-04 14:00:00,143.1,144.21,143.06,143.77,1781.268,1754316899999,256181.88769000,858,922.14200000,132629.56133000,0
2025-08-04 14:15:00,143.83,144.15,143.48,144.05,729.314,1754317799999,104869.80235000,363,418.47000000,60175.87317000,0
2025-08-04 14:30:00,144.09,144.17,143.14,143.16,789.937,1754318699999,113485.20067000,396,479.43800000,68889.68620000,0
2025-08-04 14:45:00,143.16,143.64,142.44,142.79,1158.56,1754319599999,165653.46767000,531,329.35000000,47108.45103000,0
2025-08-04 15:00:00,142.79,143.22,142.54,143.2,384.362,1754320499999,54936.84238000,240,219.90900000,31438.34252000,0
2025-08-04 15:15:00,143.17,143.58,142.85,143.45,487.368,1754321399999,69826.60682000,231,362.93800000,51987.93068000,0
2025-08-04 15:30:00,143.34,143.57,142.64,142.77,394.427,1754322299999,56448.49875000,274,197.62200000,28292.36789000,0
2025-08-04 15:45:00,142.81,143.27,142.3,143.19,494.229,1754323199999,70626.10323000,237,403.68100000,57693.44707000,0
2025-08-04 16:00:00,143.26,144.07,143.12,143.85,457.395,1754324099999,65724.75230000,288,351.87600000,50575.98842000,0
2025-08-04 16:15:00,143.95,145.26,143.84,144.49,1370.964,1754324999999,198325.85390000,634,803.59200000,116196.85791000,0
2025-08-04 16:30:00,144.54,145.36,144.54,145.01,646.181,1754325899999,93670.85397000,420,454.17400000,65871.01512000,0
2025-08-04 16:45:00,144.99,145.4,144.73,145.24,845.489,1754326799999,122585.73538000,291,371.46600000,53866.97684000,0
2025-08-04 17:00:00,145.32,146.82,145.02,146.65,1268.557,1754327699999,185217.07727000,719,811.96400000,118627.62124000,0
2025-08-04 17:15:00,146.64,146.81,146.09,146.2,817.161,1754328599999,119583.56359000,426,410.23700000,60025.62037000,0
2025-08-04 17:30:00,146.07,146.07,145.2,145.41,982.409,1754329499999,143004.99610000,463,418.09800000,60846.42582000,0
2025-08-04 17:45:00,145.41,145.53,144.92,145.1,456.739,1754330399999,66397.10756000,288,233.32200000,33917.81259000,0
